Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (14),sadness,0.5818965517241379,0.7458563535911602,0.6537530266343826,362.0
MFCC CRNN (14),surprise,0.823943661971831,0.9285714285714286,0.8731343283582089,126.0
MFCC CRNN (14),accuracy,0.7025898078529658,0.7025898078529658,0.7025898078529658,0.7025898078529658
MFCC CRNN (14),macro avg,0.7237953458350247,0.7243175891257625,0.7192665379568778,2394.0
MFCC CRNN (14),weighted avg,0.7123281919438196,0.7025898078529658,0.7025390335366741,2394.0
MFCC CNN (25),anger,0.8517441860465116,0.7876344086021505,0.8184357541899442,372.0
MFCC CNN (25),disgust,0.7624309392265194,0.6731707317073171,0.7150259067357513,410.0
MFCC CNN (25),fear,0.672514619883041,0.6149732620320856,0.6424581005586593,374.0
MFCC CNN (25),happiness,0.672686230248307,0.7563451776649747,0.7120669056152927,394.0
MFCC CNN (25),neutral,0.7131147540983607,0.7331460674157303,0.7229916897506925,356.0
MFCC CNN (25),sadness,0.6329411764705882,0.7430939226519337,0.6836086404066074,362.0
MFCC CNN (25),surprise,0.9285714285714286,0.8253968253968254,0.8739495798319328,126.0
MFCC CNN (25),accuracy,0.7230576441102757,0.7230576441102757,0.7230576441102757,0.7230576441102757
MFCC CNN (25),macro avg,0.7477147620778224,0.7333943422101453,0.7383623681555542,2394.0
MFCC CNN (25),weighted avg,0.7293224407634231,0.7230576441102757,0.7240691015785059,2394.0
MFCC CRNN (25),anger,0.8319327731092437,0.7983870967741935,0.8148148148148148,372.0
MFCC CRNN (25),disgust,0.7352185089974294,0.697560975609756,0.7158948685857321,410.0
MFCC CRNN (25),fear,0.6878612716763006,0.6363636363636364,0.6611111111111111,374.0
MFCC CRNN (25),happiness,0.6548463356973995,0.7030456852791879,0.6780905752753978,394.0
MFCC CRNN (25),neutral,0.7342465753424657,0.7528089887640449,0.7434119278779473,356.0
MFCC CRNN (25),sadness,0.6395939086294417,0.6961325966850829,0.6666666666666666,362.0
MFCC CRNN (25),surprise,0.8916666666666667,0.8492063492063492,0.8699186991869918,126.0
MFCC CRNN (25),accuracy,0.7205513784461153,0.7205513784461153,0.7205513784461153,0.7205513784461153
MFCC CRNN (25),macro avg,0.7393380057312783,0.7333579040974644,0.7357012376455232,2394.0
MFCC CRNN (25),weighted avg,0.7232510141616842,0.7205513784461153,0.7212401776110139,2394.0
MFCC CNN (39),anger,0.7772397094430993,0.8629032258064516,0.8178343949044586,372.0
MFCC CNN (39),disgust,0.7203791469194313,0.7414634146341463,0.7307692307692307,410.0
MFCC CNN (39),fear,0.6852941176470588,0.6229946524064172,0.6526610644257703,374.0
MFCC CNN (39),happiness,0.6867469879518072,0.7233502538071066,0.7045735475896168,394.0
MFCC CNN (39),neutral,0.7528409090909091,0.7443820224719101,0.748587570621469,356.0
MFCC CNN (39),sadness,0.6950146627565983,0.6546961325966851,0.6742532005689901,362.0
MFCC CNN (39),surprise,0.9369369369369369,0.8253968253968254,0.8776371308016878,126.0
MFCC CNN (39),accuracy,0.7305764411027569,0.7305764411027569,0.7305764411027569,0.7305764411027569
MFCC CNN (39),macro avg,0.7506360672494059,0.7393123610170774,0.7437594485258889,2394.0
MFCC CNN (39),weighted avg,0.7305879954098237,0.7305764411027569,0.7296182571401922,2394.0
MFCC CRNN (39),anger,0.8338028169014085,0.7956989247311828,0.8143053645116919,372.0
MFCC CRNN (39),disgust,0.7082352941176471,0.7341463414634146,0.7209580838323353,410.0
MFCC CRNN (39),fear,0.6139954853273137,0.7272727272727273,0.6658506731946144,374.0
MFCC CRNN (39),happiness,0.6719817767653758,0.748730964467005,0.7082833133253301,394.0
MFCC CRNN (39),neutral,0.7657142857142857,0.7528089887640449,0.7592067988668555,356.0
MFCC CRNN (39),sadness,0.7595419847328244,0.5497237569060773,0.6378205128205128,362.0
MFCC CRNN (39),surprise,0.8916666666666667,0.8492063492063492,0.8699186991869918,126.0
MFCC CRNN (39),accuracy,0.7259816207184628,0.7259816207184628,0.7259816207184628,0.7259816207184628
MFCC CRNN (39),macro avg,0.7492769014607888,0.7367982932586858,0.7394776351054759,2394.0
MFCC CRNN (39),weighted avg,0.7330178505518382,0.7259816207184628,0.7257245569464326,2394.0
MFCC CNN (65),anger,0.806615776081425,0.8521505376344086,0.8287581699346406,372.0
MFCC CNN (65),disgust,0.7406483790523691,0.724390243902439,0.7324290998766955,410.0
MFCC CNN (65),fear,0.7311475409836066,0.5962566844919787,0.6568483063328424,374.0
MFCC CNN (65),happiness,0.7153652392947103,0.7208121827411168,0.718078381795196,394.0
