Model,Class/Metric,precision,recall,f1-score,support
MFCC CRNN (25),macro avg,0.7291080741717263,0.7177282862639897,0.7209761428600803,2394.0
MFCC CRNN (25),weighted avg,0.7077286026044036,0.702172096908939,0.7024970120418262,2394.0
MFCC CNN (39),anger,0.7871794871794872,0.8252688172043011,0.8057742782152231,372.0
MFCC CNN (39),disgust,0.7424657534246575,0.6609756097560976,0.6993548387096774,410.0
MFCC CNN (39),fear,0.6891495601173021,0.6283422459893048,0.6573426573426573,374.0
MFCC CNN (39),happiness,0.6894865525672371,0.7157360406091371,0.7023661270236613,394.0
MFCC CNN (39),neutral,0.7138888888888889,0.7219101123595506,0.7178770949720671,356.0
MFCC CNN (39),sadness,0.612590799031477,0.6988950276243094,0.6529032258064517,362.0
MFCC CNN (39),surprise,0.9224137931034483,0.8492063492063492,0.8842975206611571,126.0
MFCC CNN (39),accuracy,0.7151211361737677,0.7151211361737677,0.7151211361737677,0.7151211361737677
MFCC CNN (39),macro avg,0.7367392620446426,0.7286191718212928,0.7314165346758422,2394.0
MFCC CNN (39),weighted avg,0.7179481273830888,0.7151211361737677,0.7152876459548054,2394.0
MFCC CRNN (39),anger,0.8160237388724035,0.739247311827957,0.7757404795486601,372.0
MFCC CRNN (39),disgust,0.7088607594936709,0.5463414634146342,0.6170798898071626,410.0
MFCC CRNN (39),fear,0.7368421052631579,0.48663101604278075,0.5861513687600645,374.0
MFCC CRNN (39),happiness,0.6484375,0.631979695431472,0.6401028277634961,394.0
MFCC CRNN (39),neutral,0.7165109034267912,0.6460674157303371,0.6794682422451994,356.0
MFCC CRNN (39),sadness,0.4576523031203566,0.850828729281768,0.5951690821256038,362.0
MFCC CRNN (39),surprise,0.8879310344827587,0.8174603174603174,0.8512396694214877,126.0
MFCC CRNN (39),accuracy,0.6562238930659984,0.6562238930659984,0.6562238930659984,0.6562238930659984
MFCC CRNN (39),macro avg,0.7103226206655913,0.6740794213127523,0.6778502228102392,2394.0
MFCC CRNN (39),weighted avg,0.6925164537659543,0.6562238930659984,0.6589797157827847,2394.0
MFCC CNN (65),anger,0.8123324396782842,0.8145161290322581,0.8134228187919463,372.0
MFCC CNN (65),disgust,0.7540106951871658,0.6878048780487804,0.7193877551020408,410.0
MFCC CNN (65),fear,0.6946107784431138,0.6203208556149733,0.655367231638418,374.0
MFCC CNN (65),happiness,0.7029702970297029,0.7208121827411168,0.7117794486215538,394.0
MFCC CNN (65),neutral,0.7275204359673024,0.75,0.7385892116182573,356.0
MFCC CNN (65),sadness,0.6467780429594272,0.7486187845303868,0.6939820742637645,362.0
MFCC CNN (65),surprise,0.9105691056910569,0.8888888888888888,0.8995983935742972,126.0
MFCC CNN (65),accuracy,0.7314118629908104,0.7314118629908104,0.7314118629908104,0.7314118629908104
MFCC CNN (65),macro avg,0.7498273992794361,0.7472802455509149,0.7474467048014681,2394.0
MFCC CNN (65),weighted avg,0.7334792877306736,0.7314118629908104,0.7312445210451316,2394.0
MFCC CRNN (65),anger,0.8169761273209549,0.8279569892473119,0.822429906542056,372.0
MFCC CRNN (65),disgust,0.7535410764872521,0.6487804878048781,0.6972477064220184,410.0
MFCC CRNN (65),fear,0.7037037037037037,0.6096256684491979,0.6532951289398281,374.0
MFCC CRNN (65),happiness,0.7116883116883117,0.6954314720812182,0.7034659820282413,394.0
MFCC CRNN (65),neutral,0.7168831168831169,0.7752808988764045,0.7449392712550608,356.0
MFCC CRNN (65),sadness,0.5964125560538116,0.7348066298342542,0.6584158415841584,362.0
MFCC CRNN (65),surprise,0.9112903225806451,0.8968253968253969,0.904,126.0
MFCC CRNN (65),accuracy,0.7230576441102757,0.7230576441102757,0.7230576441102757,0.7230576441102757
MFCC CRNN (65),macro avg,0.7443564592453995,0.7412439347312374,0.7405419766816232,2394.0
MFCC CRNN (65),weighted avg,0.7278160636009103,0.7230576441102757,0.722958385643092,2394.0
MFCC CNN (96),anger,0.8101604278074866,0.8145161290322581,0.8123324396782842,372.0
MFCC CNN (96),disgust,0.7433862433862434,0.6853658536585366,0.7131979695431472,410.0
MFCC CNN (96),fear,0.6904761904761905,0.6203208556149733,0.6535211267605634,374.0
MFCC CNN (96),happiness,0.7153652392947103,0.7208121827411168,0.718078381795196,394.0
MFCC CNN (96),neutral,0.7365591397849462,0.7696629213483146,0.7527472527472527,356.0
MFCC CNN (96),sadness,0.6470588235294118,0.7292817679558011,0.6857142857142857,362.0
MFCC CNN (96),surprise,0.875968992248062,0.8968253968253969,0.8862745098039215,126.0
